,providerListingId,statusText,price,address,beds,baths,availabilityDate
4,42f0d33ksvudj,Apartment for rent,"$1,195/mo","613 Plateau Ave, Lakeland, FL 33815",2.0,1.0,
5,2zm00qqbek2q9,Townhouse for rent,$625/mo,"414 1/2 Miami St, 414 1/2 Miami St, Lake Wales, FL 33853",2.0,1.0,2022-05-24 00:00:00
6,5h1qc0ymvw2by,House for rent,$925/mo,"603 Dr J A Wiltshire Ave W, Lake Wales, FL 33853",2.0,1.0,
7,28b3dcdebqkh,House for rent,"$1,751/mo","830 White Birch Ln, Bartow, FL 33830",3.0,2.0,2022-06-23 00:00:00
8,1jzfj3bcae585,Apartment for rent,"$1,275/mo","1222 Taylor St UNIT 5, Auburndale, FL 33823",2.0,1.0,2022-06-01 00:00:00
9,2gj9533hjnp4k,House for rent,"$1,645/mo","2047 Somerville Dr N, Lakeland, FL 33815",3.0,2.0,
10,1w3ywuzmbvnsw,Apartment for rent,"$1,150/mo","1898 Lake Mariam Dr, Winter Haven, FL 33884",2.0,2.0,
11,38v1zvcy0neu4,House for rent,"$1,795/mo","1204 Atlantic Ct, Poinciana, FL 34759",4.0,2.0,
12,3c5pdwumtvkrq,House for rent,"$1,740/mo","340 Indica Ct, Bartow, FL 33830",3.0,2.0,2022-05-17 00:00:00
13,45jbhm065w50v,Apartment for rent,"$1,145/mo","603 Plateau Ave, Lakeland, FL 33815",2.0,1.0,
14,3se61y88j5pqu,Apartment for rent,"$1,350/mo","1055 Spirit Lake Rd, Winter Haven, FL 33880",2.0,1.5,
15,qgagetac222m,House for rent,"$1,780/mo","58 Marshall Ln, Frostproof, FL 33843",4.0,1.5,2022-05-03 00:00:00
16,3phhweq3ydpv1,House for rent,"$1,800/mo","3023 Drewery Ave, Lakeland, FL 33803",3.0,1.0,2022-05-09 00:00:00
17,3wsuxvd78g6c6,House for rent,"$1,795/mo","3630 Dartford Dr, Davenport, FL 33837",3.0,2.0,2022-05-22 00:00:00
18,rmx3cg75bmyk,House for rent,"$1,800/mo","847 Grant St, Bartow, FL 33830",3.0,2.0,
19,2h8v0frxckcbk,House for rent,"$1,745/mo","314 Sears Ave NE, Winter Haven, FL 33881",3.0,1.0,
20,sa4dxyann99f,House for rent,$850/mo,"3726 Avenue S NW, Winter Haven, FL 33881",2.0,1.0,2022-05-24 00:00:00
21,5ad2pyxxvg2g7,House for rent,"$1,795/mo","637 W Alamo Dr, Lakeland, FL 33813",3.0,2.0,
22,32555f1x0pzeb,Townhouse for rent,"$1,775/mo","2707 Rutledge Ct, Winter Haven, FL 33884",2.0,2.0,2022-06-12 00:00:00
23,4wd04kmxc6hjk,House for rent,"$1,540/mo","633 Tulip Cir W, Auburndale, FL 33823",2.0,2.0,2022-06-01 00:00:00
24,gwbmp2kvwkpc,House for rent,$650/mo,"557 Snively Ave, Winter Haven, FL 33880",3.0,1.0,2022-06-13 00:00:00
25,4h5hr4xfpdhzb,Condo for rent,"$1,350/mo","216 Australian Way #1, Davenport, FL 33897",3.0,2.0,
26,2uxejzbahbtqf,House for rent,"$1,595/mo","1247 Berkley Rd, Auburndale, FL 33823",2.0,2.0,2022-06-15 00:00:00
27,14cpaqvhe0vt2,House for rent,"$1,595/mo","1251 Berkley Rd, Auburndale, FL 33823",2.0,2.0,2022-06-15 00:00:00
28,4ns569uwwgzak,House for rent,"$1,800/mo","3123 Galloway Oaks Dr, Lakeland, FL 33810",3.0,2.0,2022-06-24 00:00:00
29,2smw3xxcydej2,House for rent,"$1,500/mo","2140 Parker Rd, Lakeland, FL 33811",3.0,1.0,2022-06-17 00:00:00
30,4d75kmuhqgjxa,House for rent,"$1,695/mo","412 Maclandon Ct, Winter Haven, FL 33884",2.0,2.5,2022-06-15 00:00:00
31,52q6zmtrvbfg2,House for rent,"$1,600/mo","612 W Myrtle St, Lakeland, FL 33815",3.0,1.0,
32,441w85sy4dv24,House for rent,"$1,775/mo","2611 Crest Dr, Haines City, FL 33844",3.0,2.0,2022-06-30 00:00:00
33,51fnds2m0pe6,Apartment for rent,"$1,195/mo","3033 Saint Paul Dr, Winter Haven, FL 33880",2.0,1.0,
34,4ayrqfd7dut42,Apartment for rent,"$1,375/mo","2 bed, 802 sqft, $1,375, 2218 Leo Dr APT A, Auburndale, FL 33823",2.0,1.0,2022-05-24 00:00:00
35,525nyvhnhucwu,720 6th St. NW,,"720 6th St NW, Winter Haven, FL",,,
36,58mx3bffc3sk2,House for rent,"$1,700/mo","112 Redwing Ct, Poinciana, FL 34759",4.0,2.0,2022-05-04 00:00:00
